"","State_FIPS_Code","County_FIPS_Code","Premature.death.Value","Poor.or.fair.health.Value","Poor.physical.health.days.Value","Poor.mental.health.days.Value","Low.birthweight.Value","Adult.smoking.Value","Adult.obesity.Value","Food.environment.index.Value","Physical.inactivity.Value","Access.to.exercise.opportunities.Value","Excessive.drinking.Value","Alcohol.impaired.driving.deaths.Value","Sexually.transmitted.infections.Value","Teen.births.Value","Primary.care.physicians.Value","Mental.health.providers.Value","Preventable.hospital.stays.Value","Population.estimate.Value","Percent.of.population.below.18.years.of.age","Percent.of.population.aged.65.years.and.older","Percent.of.population.that.is.non.Hispanic.African.American","Percent.of.population.that.is.American.Indian.or.Alaskan.Native","Percent.of.population.that.is.Asian","Percent.of.population.that.is.Native.Hawaiian.or.Other.Pacific.Islander","Percent.of.population.that.is.Hispanic","Percent.of.population.that.is.non.Hispanic.White","Population.that.is.not.proficient.in.English.Value","Percent.of.population.that.is.female","Population.living.in.a.rural.area.Value","Diabetes.Value","Other.primary.care.providers.Value"
"836","19","067","6,393",0.126,3.1,3,0.06,0.176,0.329,7.7,0.294,0.587,0.169,0.182,"143.2",30.4,37,"12",61.93,"16,077",0.231,0.207,0.02,0.003,0.017,0.001,0.023,0.931,0.003,0.509,0.527,0.108,"50"
"837","19","069","4,521",0.139,3.3,3,0.07,0.167,0.331,8.3,0.259,0.698,0.174,0.3,"255.8",32.2,38,"10",51.16,"10,436",0.228,0.201,0.004,0.005,0.007,0.001,0.118,0.862,0.02,0.498,0.602,0.108,"67"
"838","19","071","6,694",0.125,3,2.9,0.07,0.171,0.33,7.2,0.279,0.459,0.185,0.385,"125.9",39.5,28,"28",91,"7,022",0.22,0.216,0.006,0.002,0.003,0,0.026,0.953,0,0.506,1,0.103,"100"
"839","19","073","7,037",0.134,3.1,3,0.1,0.166,0.286,7.6,0.3,0.423,0.183,0.4,"207.6",37.3,55,"65",40.1,"9,200",0.229,0.214,0.005,0.004,0.004,0,0.029,0.948,0.006,0.511,0.582,0.106,"11"
"840","19","075","4,131",0.1,2.6,2.7,0.07,0.15,0.291,8.6,0.273,0.747,0.201,0.2,"184.8",14.2,24,"8",26.29,"12,375",0.234,0.198,0.004,0.001,0.003,0.001,0.012,0.971,0.002,0.509,1,0.093,"40"
"841","19","077","6,299",0.116,2.9,2.9,0.08,0.163,0.349,8.3,0.306,0.176,0.185,0.375,"139.2",19.5,37,"9",43.67,"10,722",0.222,0.217,0.003,0.003,0.004,0,0.023,0.958,0.005,0.502,1,0.103,"84"
"842","19","079","5,671",0.127,3,2.9,0.08,0.163,0.298,7.6,0.275,0.709,0.19,0.3,"299.8",31.6,65,"20",68.41,"15,117",0.23,0.194,0.005,0.004,0.021,0,0.054,0.906,0.004,0.507,0.505,0.099,"106"
"843","19","081","5,904",0.11,2.8,2.8,0.07,0.153,0.326,8.2,0.261,0.595,0.198,0.25,"44.9",20.4,36,"9",47.44,"11,027",0.227,0.202,0.006,0.003,0.005,0,0.035,0.941,0.005,0.498,0.7,0.098,"54"
"844","19","083","5,681",0.117,2.9,2.8,0.07,0.154,0.328,8.1,0.275,0.741,0.188,0.083,"254.3",27.9,52,"40",48.25,"17,311",0.21,0.212,0.014,0.003,0.006,0,0.041,0.926,0.007,0.5,0.711,0.099,"75"
"845","19","085","7,614",0.115,2.9,2.9,0.07,0.171,0.32,8.1,0.283,0.489,0.209,0.32,"281.8",24.9,42,"21",83.65,"14,324",0.226,0.191,0.004,0.003,0.004,0,0.014,0.967,0,0.503,0.811,0.098,"28"
